COUNTY_FIPS,STATE,REQUIRED_SPECIALTY,DISEASE,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES
37147,NC,Oncology,Cancer,6,2781,394802.0
37147,NC,Internal Medicine,General Medicine Conditions,77,16493,150050.5
37147,NC,Neurology,Neurological Disorders,16,2922,19082.0
37147,NC,Psychiatry,Mental Health Disorders,20,1676,6451.0
37147,NC,Pulmonary,Respiratory Disease,18,7666,24074.0
37147,NC,Rheumatology,Arthritis,4,2792,327706.3
37149,NC,Cardiology,Heart Disease,2,1529,3716.0
37149,NC,Internal Medicine,General Medicine Conditions,5,959,4178.0
37149,NC,Psychiatry,Mental Health Disorders,1,0,0.0
37151,NC,Cardiology,Heart Disease,5,3067,6557.0
37151,NC,Oncology,Cancer,2,287,802.0
37151,NC,Internal Medicine,General Medicine Conditions,13,1698,14728.0
37151,NC,Psychiatry,Mental Health Disorders,2,36,109.0
37151,NC,Pulmonary,Respiratory Disease,1,430,6976.0
37153,NC,Cardiology,Heart Disease,5,4106,18537.0
37153,NC,Internal Medicine,General Medicine Conditions,6,1803,7694.0
37155,NC,Cardiology,Heart Disease,8,3886,10896.0
37155,NC,Oncology,Cancer,1,0,0.0
37155,NC,Internal Medicine,General Medicine Conditions,16,2696,8105.0
37155,NC,Neurology,Neurological Disorders,2,349,3634.0
37155,NC,Psychiatry,Mental Health Disorders,3,0,0.0
37155,NC,Pulmonary,Respiratory Disease,2,455,11908.0
37157,NC,Cardiology,Heart Disease,2,1257,2739.0
37157,NC,Endocrinology,Diabetes,1,223,925.0
37157,NC,Oncology,Cancer,1,67,230.0
37157,NC,Internal Medicine,General Medicine Conditions,15,3424,29907.0
37157,NC,Psychiatry,Mental Health Disorders,1,39,134.0
37159,NC,Oncology,Cancer,1,169,654.0
37159,NC,Internal Medicine,General Medicine Conditions,12,3242,32927.0
37159,NC,Neurology,Neurological Disorders,6,1932,47859.0
37159,NC,Psychiatry,Mental Health Disorders,6,372,2557.0
37159,NC,Pulmonary,Respiratory Disease,1,360,1034.0
37159,NC,Rheumatology,Arthritis,2,326,113361.0
37161,NC,Cardiology,Heart Disease,1,324,623.0
37161,NC,Oncology,Cancer,1,167,517.0
37161,NC,Internal Medicine,General Medicine Conditions,9,1639,16255.0
37161,NC,Neurology,Neurological Disorders,1,569,2793.0
37161,NC,Psychiatry,Mental Health Disorders,1,35,225.0
37163,NC,Cardiology,Heart Disease,1,419,910.0
37163,NC,Endocrinology,Diabetes,1,0,0.0
37163,NC,Internal Medicine,General Medicine Conditions,20,2472,11061.0
37163,NC,Psychiatry,Mental Health Disorders,1,12,59.0
37165,NC,Cardiology,Heart Disease,2,324,1732.0
37165,NC,Oncology,Cancer,2,204,466.0
37165,NC,Internal Medicine,General Medicine Conditions,6,1377,3932.0
37165,NC,Psychiatry,Mental Health Disorders,1,24,121.0
37165,NC,Pulmonary,Respiratory Disease,1,433,2879.0
37167,NC,Oncology,Cancer,1,117,335.0
37167,NC,Internal Medicine,General Medicine Conditions,4,1229,13034.0
37167,NC,Psychiatry,Mental Health Disorders,5,242,966.0
37167,NC,Pulmonary,Respiratory Disease,1,396,1231.0
37169,NC,Internal Medicine,General Medicine Conditions,2,131,588.0
37171,NC,Cardiology,Heart Disease,2,1215,6556.0
37171,NC,Endocrinology,Diabetes,1,215,903.0
37171,NC,Internal Medicine,General Medicine Conditions,20,4222,16197.0
37171,NC,Neurology,Neurological Disorders,1,382,778.0
37171,NC,Psychiatry,Mental Health Disorders,3,100,701.0
37173,NC,Cardiology,Heart Disease,1,1487,2490.0
37173,NC,Internal Medicine,General Medicine Conditions,1,0,0.0
37173,NC,Psychiatry,Mental Health Disorders,1,18,46.0
37175,NC,Cardiology,Heart Disease,1,601,2300.0
37175,NC,Internal Medicine,General Medicine Conditions,6,1083,4106.0
37175,NC,Neurology,Neurological Disorders,4,1402,11532.0
37175,NC,Psychiatry,Mental Health Disorders,2,103,289.0
37177,NC,Psychiatry,Mental Health Disorders,1,103,384.0
37179,NC,Cardiology,Heart Disease,4,3991,14395.0
37179,NC,Endocrinology,Diabetes,2,638,15337.0
37179,NC,Oncology,Cancer,5,855,2365.0
37179,NC,Internal Medicine,General Medicine Conditions,10,2276,12069.0
37179,NC,Neurology,Neurological Disorders,4,1087,11494.0
37179,NC,Psychiatry,Mental Health Disorders,3,188,860.0
37179,NC,Pulmonary,Respiratory Disease,5,2143,8394.0
37181,NC,Cardiology,Heart Disease,3,1114,3793.0
37181,NC,Oncology,Cancer,1,178,329.0
37181,NC,Internal Medicine,General Medicine Conditions,5,188,1066.0
37181,NC,Neurology,Neurological Disorders,1,444,821.0
37181,NC,Psychiatry,Mental Health Disorders,2,31,114.0
37183,NC,Cardiology,Heart Disease,73,76691,234529.0
37183,NC,Endocrinology,Diabetes,21,10046,70948.0
37183,NC,Oncology,Cancer,30,7524,342042.5
37183,NC,Internal Medicine,General Medicine Conditions,306,49825,375560.0
37183,NC,Neurology,Neurological Disorders,36,10480,598884.0
37183,NC,Psychiatry,Mental Health Disorders,99,3638,23493.0
37183,NC,Pulmonary,Respiratory Disease,29,11520,41511.0
37183,NC,Rheumatology,Arthritis,19,4240,972457.0
37187,NC,Internal Medicine,General Medicine Conditions,1,116,297.0
37189,NC,Cardiology,Heart Disease,1,884,2252.0
37189,NC,Oncology,Cancer,1,269,440.0
37189,NC,Internal Medicine,General Medicine Conditions,12,3003,12385.0
37189,NC,Neurology,Neurological Disorders,3,1730,9777.0
37189,NC,Psychiatry,Mental Health Disorders,1,0,0.0
37189,NC,Pulmonary,Respiratory Disease,3,658,5829.0
37189,NC,Rheumatology,Arthritis,2,729,160119.0
37191,NC,Cardiology,Heart Disease,1,1518,9946.0
37191,NC,Endocrinology,Diabetes,2,279,1268.0
37191,NC,Oncology,Cancer,3,3540,747919.0
37191,NC,Internal Medicine,General Medicine Conditions,29,7896,35442.0
37191,NC,Neurology,Neurological Disorders,1,570,985.0
37191,NC,Psychiatry,Mental Health Disorders,12,1087,6778.0
37191,NC,Pulmonary,Respiratory Disease,4,1121,2618.0
37191,NC,Rheumatology,Arthritis,1,402,212194.0
37193,NC,Cardiology,Heart Disease,4,1138,1826.0
37193,NC,Internal Medicine,General Medicine Conditions,10,1933,15392.0
37193,NC,Neurology,Neurological Disorders,3,250,467.0
37193,NC,Psychiatry,Mental Health Disorders,1,476,2361.0
37193,NC,Pulmonary,Respiratory Disease,1,306,1767.0
37195,NC,Cardiology,Heart Disease,5,3139,23717.0
37195,NC,Endocrinology,Diabetes,1,29,100.0
37195,NC,Oncology,Cancer,3,1415,321848.0
37195,NC,Internal Medicine,General Medicine Conditions,39,12873,252777.5
37195,NC,Neurology,Neurological Disorders,8,2313,33826.0
37195,NC,Psychiatry,Mental Health Disorders,3,317,1470.0
37195,NC,Pulmonary,Respiratory Disease,2,825,2893.0
37195,NC,Rheumatology,Arthritis,2,733,261505.0
37199,NC,Internal Medicine,General Medicine Conditions,1,19,49.0
48001,TX,Cardiology,Heart Disease,3,1450,7273.0
48001,TX,Endocrinology,Diabetes,1,629,36254.0
48001,TX,Oncology,Cancer,1,598,167327.0
48001,TX,Internal Medicine,General Medicine Conditions,9,1861,19088.0
48001,TX,Psychiatry,Mental Health Disorders,2,77,1006.0
48005,TX,Cardiology,Heart Disease,2,1916,27897.0
48005,TX,Endocrinology,Diabetes,1,472,2154.0
48005,TX,Oncology,Cancer,3,835,367404.0
48005,TX,Internal Medicine,General Medicine Conditions,30,6241,40821.0
48005,TX,Neurology,Neurological Disorders,3,1526,8146.0
48005,TX,Psychiatry,Mental Health Disorders,4,263,2862.0
48005,TX,Pulmonary,Respiratory Disease,2,1680,5793.0
48005,TX,Rheumatology,Arthritis,1,371,74788.0
48007,TX,Internal Medicine,General Medicine Conditions,2,2003,12983.0
48007,TX,Psychiatry,Mental Health Disorders,1,57,390.0
48009,TX,Endocrinology,Diabetes,3,1486,7645.0
48009,TX,Internal Medicine,General Medicine Conditions,4,1054,5318.0
48009,TX,Neurology,Neurological Disorders,2,352,1154.0
48009,TX,Rheumatology,Arthritis,1,495,2153.0
48013,TX,Cardiology,Heart Disease,1,770,3811.0
48013,TX,Internal Medicine,General Medicine Conditions,1,72,591.0
48013,TX,Psychiatry,Mental Health Disorders,6,269,2256.0
48013,TX,Pulmonary,Respiratory Disease,1,279,967.0
48015,TX,Cardiology,Heart Disease,1,1097,6969.0
48015,TX,Internal Medicine,General Medicine Conditions,2,749,11624.0
48019,TX,Internal Medicine,General Medicine Conditions,3,1291,7863.0
48021,TX,Oncology,Cancer,3,1446,372679.0
48021,TX,Internal Medicine,General Medicine Conditions,12,1550,8769.0
48021,TX,Psychiatry,Mental Health Disorders,2,148,401.0
48021,TX,Rheumatology,Arthritis,2,279,63006.0
48023,TX,Internal Medicine,General Medicine Conditions,1,0,0.0
48025,TX,Cardiology,Heart Disease,1,502,1169.0
48025,TX,Internal Medicine,General Medicine Conditions,4,911,4439.0
48025,TX,Pulmonary,Respiratory Disease,1,869,4096.0
48027,TX,Cardiology,Heart Disease,2,2069,4222.0
48027,TX,Endocrinology,Diabetes,1,172,547.0
48027,TX,Oncology,Cancer,1,66,345.0
48027,TX,Internal Medicine,General Medicine Conditions,18,4003,34415.0
48027,TX,Neurology,Neurological Disorders,2,354,3633.0
48027,TX,Psychiatry,Mental Health Disorders,13,438,2396.0
48027,TX,Pulmonary,Respiratory Disease,1,480,1027.0
48029,TX,Cardiology,Heart Disease,113,56297,228158.0
48029,TX,Endocrinology,Diabetes,39,13634,206135.0
48029,TX,Oncology,Cancer,53,14528,3242126.0
48029,TX,Internal Medicine,General Medicine Conditions,529,105618,969649.0
48029,TX,Neurology,Neurological Disorders,97,18939,273215.0
48029,TX,Psychiatry,Mental Health Disorders,129,4289,30068.0
48029,TX,Pulmonary,Respiratory Disease,82,27247,104553.0
48029,TX,Rheumatology,Arthritis,33,10308,2490627.2
48035,TX,Cardiology,Heart Disease,1,975,3937.0
48035,TX,Internal Medicine,General Medicine Conditions,1,0,0.0
48035,TX,Psychiatry,Mental Health Disorders,1,0,0.0
48037,TX,Cardiology,Heart Disease,5,7436,22895.0
48037,TX,Endocrinology,Diabetes,1,576,1255.0
48037,TX,Oncology,Cancer,1,355,840.0
48037,TX,Internal Medicine,General Medicine Conditions,20,7727,147245.5
48037,TX,Neurology,Neurological Disorders,1,329,540.0
