COUNTY_FIPS,STATE,REQUIRED_SPECIALTY,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES
01125,AL,NEUROLOGY,10,3725,87136.0
01125,AL,PSYCHIATRY,13,784,5865.0
01125,AL,PULMONARY DISEASE,6,2537,17584.0
01125,AL,RHEUMATOLOGY,2,1131,326686.0
01127,AL,CARDIOVASCULAR DISEASE (CARDIOLOGY),1,947,4301.0
01127,AL,HEMATOLOGY/ONCOLOGY,2,1056,243540.0
01127,AL,INTERNAL MEDICINE,15,3247,19509.0
01127,AL,PSYCHIATRY,2,183,1353.0
01129,AL,INTERNAL MEDICINE,1,279,693.0
01133,AL,INTERNAL MEDICINE,2,758,12666.0
02020,AK,CARDIOVASCULAR DISEASE (CARDIOLOGY),6,6373,35672.6
02020,AK,ENDOCRINOLOGY,3,638,2370.0
02020,AK,HEMATOLOGY/ONCOLOGY,10,3525,867354.0
02020,AK,INTERNAL MEDICINE,71,16128,159839.0
02020,AK,NEUROLOGY,17,4398,106742.0
02020,AK,PSYCHIATRY,45,900,6542.0
02020,AK,PULMONARY DISEASE,7,1829,5452.0
02020,AK,RHEUMATOLOGY,3,686,109564.0
02050,AK,INTERNAL MEDICINE,2,412,1409.0
02050,AK,NEUROLOGY,1,61,84.0
02050,AK,PSYCHIATRY,5,102,1034.0
02050,AK,PULMONARY DISEASE,1,1035,2174.0
02066,AK,INTERNAL MEDICINE,1,0,0.0
02110,AK,HEMATOLOGY/ONCOLOGY,2,251,427.0
02110,AK,INTERNAL MEDICINE,6,1806,14050.0
02110,AK,PSYCHIATRY,7,90,753.0
02110,AK,PULMONARY DISEASE,1,510,1878.0
02110,AK,RHEUMATOLOGY,1,17,43.0
02122,AK,HEMATOLOGY/ONCOLOGY,1,326,784.0
02122,AK,INTERNAL MEDICINE,9,4776,12528.0
02122,AK,NEUROLOGY,5,923,3030.0
02122,AK,PSYCHIATRY,5,52,218.0
02122,AK,PULMONARY DISEASE,1,357,744.0
02130,AK,HEMATOLOGY/ONCOLOGY,1,0,0.0
02130,AK,INTERNAL MEDICINE,4,197,468.0
02130,AK,PSYCHIATRY,2,36,400.0
02150,AK,CARDIOVASCULAR DISEASE (CARDIOLOGY),8,14576,66214.0
02150,AK,INTERNAL MEDICINE,2,74,190.0
02150,AK,PSYCHIATRY,2,70,519.0
02170,AK,CARDIOVASCULAR DISEASE (CARDIOLOGY),3,2422,26283.0
02170,AK,ENDOCRINOLOGY,1,161,597.0
02170,AK,HEMATOLOGY/ONCOLOGY,1,421,112804.0
02170,AK,INTERNAL MEDICINE,5,1060,4541.0
02170,AK,NEUROLOGY,2,0,0.0
02170,AK,PSYCHIATRY,7,395,2119.0
02180,AK,INTERNAL MEDICINE,1,42,288.0
02185,AK,CARDIOVASCULAR DISEASE (CARDIOLOGY),1,0,0.0
02188,AK,INTERNAL MEDICINE,5,415,932.0
02198,AK,PSYCHIATRY,1,0,0.0
02220,AK,CARDIOVASCULAR DISEASE (CARDIOLOGY),5,4614,13997.0
02220,AK,INTERNAL MEDICINE,8,2449,5837.0
02220,AK,NEUROLOGY,5,1037,1830.0
02220,AK,PSYCHIATRY,6,145,447.0
02220,AK,RHEUMATOLOGY,5,648,2073.0
02275,AK,INTERNAL MEDICINE,1,143,322.0
02282,AK,PSYCHIATRY,2,0,0.0
02290,AK,CARDIOVASCULAR DISEASE (CARDIOLOGY),5,7135,14009.0
02290,AK,ENDOCRINOLOGY,1,381,795.0
02290,AK,INTERNAL MEDICINE,24,4713,12610.0
02290,AK,NEUROLOGY,2,273,607.0
