COUNTY_FIPS,STATEDESC,REQUIRED_SPECIALTY,ESTIMATED_PATIENTS,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES,PATIENTS_PER_PROVIDER,MEDIAN_PATIENTS_PER_PROVIDER,MEAN_PATIENTS_PER_PROVIDER,GAP_RATIO,ACCESS_GAP_LEVEL,GAP_SCORE,UC05_KEY,providers_per_1000_patients,services_per_beneficiary,is_anomaly,anomaly_label,anomaly_score,anomaly_type
6099,California,ENDOCRINOLOGY,194891,3,1696,22347.0,64963.66666666666,18070.0,22988.768286620067,3.595111603025272,CRITICAL GAP,19.57,06099|ENDOCRINOLOGY,0.0153932197997855,13.16853270477313,True,-1,-0.0125878854835741,shortage_anomaly
6111,California,RHEUMATOLOGY,127361,11,3671,1170553.0,11578.272727272728,10453.0,13315.598760659872,1.1076506961898716,HIGH GAP,6.03,06111|RHEUMATOLOGY,0.0863686685877152,318.77805010893246,True,-1,-0.0182431890859025,shortage_anomaly
8005,Colorado,HEMATOLOGY/ONCOLOGY,37755,1,946,269278.0,37755.0,2055.6666666666665,2642.926682217817,18.36630452407978,CRITICAL GAP,100.0,08005|HEMATOLOGY/ONCOLOGY,0.0264865580717785,284.34846884899684,True,-1,-0.0687806104298203,shortage_anomaly
8005,Colorado,RHEUMATOLOGY,109948,7,2560,902960.0,15706.857142857143,10453.0,13315.598760659872,1.502617157070424,HIGH GAP,8.18,08005|RHEUMATOLOGY,0.063666460508604,352.5810230378758,True,-1,-0.0267898863553045,shortage_anomaly
8059,Colorado,RHEUMATOLOGY,111277,3,375,39143.0,37092.333333333336,10453.0,13315.598760659872,3.5484868777703373,CRITICAL GAP,19.32,08059|RHEUMATOLOGY,0.0269597490946017,104.10372340425532,True,-1,-0.043484201434747,shortage_anomaly
8069,Colorado,RHEUMATOLOGY,67371,3,1466,219101.5,22457.0,10453.0,13315.598760659872,2.1483784559456613,CRITICAL GAP,11.7,08069|RHEUMATOLOGY,0.0445295453533419,149.35344239945468,True,-1,-0.0054615513781084,shortage_anomaly
8101,Colorado,CARDIOVASCULAR DISEASE (CARDIOLOGY),87719,1,0,0.0,87719.0,10823.136363636364,15071.056217261126,8.10476714445905,CRITICAL GAP,44.13,08101|CARDIOVASCULAR DISEASE (CARDIOLOGY),0.0114000387601317,0.0,True,-1,-0.0226826598767717,shortage_anomaly
8123,Colorado,ENDOCRINOLOGY,115827,2,334,5813.0,57913.5,18070.0,22988.768286620067,3.2049529607083564,CRITICAL GAP,17.45,08123|ENDOCRINOLOGY,0.0172671311524946,17.35223880597015,True,-1,-0.0179037102387454,shortage_anomaly
10001,Delaware,RHEUMATOLOGY,40076,3,2679,941046.0,13358.666666666666,10453.0,13315.598760659872,1.2779744252048852,HIGH GAP,6.96,10001|RHEUMATOLOGY,0.0748577702365505,351.1365671641791,True,-1,-0.0256418818414339,shortage_anomaly
10005,Delaware,RHEUMATOLOGY,62769,1,1264,385600.0,62769.0,10453.0,13315.598760659872,6.004878982110399,CRITICAL GAP,32.7,10005|RHEUMATOLOGY,0.0159314311204575,304.8221343873517,True,-1,-0.0853525811859409,shortage_anomaly
12005,Florida,HEMATOLOGY/ONCOLOGY,12407,1,778,297253.0,12407.0,2055.6666666666665,2642.926682217817,6.035511593967894,CRITICAL GAP,32.86,12005|HEMATOLOGY/ONCOLOGY,0.0805996614814217,381.5827984595636,True,-1,-0.0233228955433407,shortage_anomaly
12005,Florida,RHEUMATOLOGY,40003,3,3747,895578.0,13334.333333333334,10453.0,13315.598760659872,1.275646544851558,HIGH GAP,6.95,12005|RHEUMATOLOGY,0.0749943754218433,238.94823906083244,True,-1,-0.0079836162874474,shortage_anomaly
12009,Florida,RHEUMATOLOGY,139728,6,4025,1053069.0,23288.0,10453.0,13315.598760659872,2.227877164450397,CRITICAL GAP,12.13,12009|RHEUMATOLOGY,0.0429405702507729,261.5670640834575,True,-1,-0.0319975336164266,shortage_anomaly
12015,Florida,RHEUMATOLOGY,57027,1,567,253800.0,57027.0,10453.0,13315.598760659872,5.4555629962690135,CRITICAL GAP,29.7,12015|RHEUMATOLOGY,0.0175355533343854,446.8309859154929,True,-1,-0.0901600977370874,shortage_anomaly
12019,Florida,RHEUMATOLOGY,43679,2,1695,574354.0,21839.5,10453.0,13315.598760659872,2.0893045058834785,CRITICAL GAP,11.38,12019|RHEUMATOLOGY,0.0457885940612193,338.65212264150944,True,-1,-0.0394599123318836,shortage_anomaly
12021,Florida,RHEUMATOLOGY,87874,7,2950,1187271.0,12553.42857142857,10453.0,13315.598760659872,1.200940263219035,HIGH GAP,6.54,12021|RHEUMATOLOGY,0.0796595124837836,402.3283632666893,True,-1,-0.023900820743151,shortage_anomaly
12053,Florida,RHEUMATOLOGY,47503,4,1588,504969.0,11875.75,10453.0,13315.598760659872,1.1361092509327466,HIGH GAP,6.19,12053|RHEUMATOLOGY,0.0842052080921205,317.79043423536814,True,-1,-0.0190568228978914,shortage_anomaly
12075,Florida,CARDIOVASCULAR DISEASE (CARDIOLOGY),31707,1,337,14627.0,31707.0,10823.136363636364,15071.056217261126,2.9295574715781427,CRITICAL GAP,15.95,12075|CARDIOVASCULAR DISEASE (CARDIOLOGY),0.0315387769262308,43.27514792899408,True,-1,-0.0115315885422908,shortage_anomaly
12081,Florida,ENDOCRINOLOGY,162308,3,2565,62344.0,54102.66666666666,18070.0,22988.768286620067,2.9940601365061794,CRITICAL GAP,16.3,12081|ENDOCRINOLOGY,0.018483377282697,24.29618082618862,True,-1,-0.0213874984331952,shortage_anomaly
12081,Florida,HEMATOLOGY/ONCOLOGY,35237,4,3588,1201686.0,8809.25,2055.6666666666665,2642.926682217817,4.28534944057078,CRITICAL GAP,23.33,12081|HEMATOLOGY/ONCOLOGY,0.1135170417458921,334.82474226804123,True,-1,-0.0139435626822121,shortage_anomaly
12081,Florida,RHEUMATOLOGY,94026,4,1441,144686.0,23506.5,10453.0,13315.598760659872,2.2487802544724005,CRITICAL GAP,12.24,12081|RHEUMATOLOGY,0.0425414247123136,100.3370319001387,True,-1,-0.0047740997063324,shortage_anomaly
12083,Florida,RHEUMATOLOGY,92331,2,844,308897.0,46165.5,10453.0,13315.598760659872,4.416483306227877,CRITICAL GAP,24.05,12083|RHEUMATOLOGY,0.02166119721437,365.5585798816568,True,-1,-0.0816806778804605,shortage_anomaly
12091,Florida,HEMATOLOGY/ONCOLOGY,13624,3,1927,893249.0,4541.333333333333,2055.6666666666665,2642.926682217817,2.209177882276634,CRITICAL GAP,12.03,12091|HEMATOLOGY/ONCOLOGY,0.2201996476805637,463.3034232365145,True,-1,-0.0196167301593339,shortage_anomaly
12095,Florida,RHEUMATOLOGY,237323,11,2399,374299.0,21574.81818181818,10453.0,13315.598760659872,2.0639833714549107,CRITICAL GAP,11.24,12095|RHEUMATOLOGY,0.0463503326689785,155.95791666666668,True,-1,-0.003262768312468,shortage_anomaly
12097,Florida,RHEUMATOLOGY,69610,2,425,71887.0,34805.0,10453.0,13315.598760659872,3.3296661245575434,CRITICAL GAP,18.13,12097|RHEUMATOLOGY,0.0287315040942393,168.7488262910798,True,-1,-0.0438042509562323,shortage_anomaly
12103,Florida,RHEUMATOLOGY,216654,32,8975,2610930.1,6770.4375,10453.0,13315.598760659872,0.6477028125896872,MODERATE GAP,3.53,12103|RHEUMATOLOGY,0.1477009425166394,290.87902183600715,True,-1,-0.002179037948857,shortage_anomaly
12105,Florida,HEMATOLOGY/ONCOLOGY,49163,6,3510,950977.0,8193.833333333334,2055.6666666666665,2642.926682217817,3.985973731149669,CRITICAL GAP,21.7,12105|HEMATOLOGY/ONCOLOGY,0.1220429998169354,270.8564511535175,True,-1,-0.0025995938352563,shortage_anomaly
12107,Florida,RHEUMATOLOGY,18017,1,403,124554.0,18017.0,10453.0,13315.598760659872,1.7236200133932842,HIGH GAP,9.38,12107|RHEUMATOLOGY,0.0555031359271798,308.3019801980198,True,-1,-0.0300976723818194,shortage_anomaly
