COUNTY_FIPS,PRIMARY SPECIALTY,avg_distance_to_provider,min_distance_to_provider,provider_count_in_county
04021,CARDIOVASCULAR DISEASE (CARDIOLOGY),16.44567357694718,16.44567357694718,5
04021,ENDOCRINOLOGY,9.519997022287782,7.708592413604518,3
04021,HEMATOLOGY/ONCOLOGY,16.44567357694718,16.44567357694718,3
04021,NEUROLOGY,27.09942669900833,16.44567357694718,3
04021,PSYCHIATRY,14.346954737087064,13.142806239654309,9
04021,PULMONARY DISEASE,16.44567357694718,16.44567357694718,1
04021,RHEUMATOLOGY,13.00371034050518,12.86461444135605,2
04023,PSYCHIATRY,0.0,0.0,1
04025,CARDIOVASCULAR DISEASE (CARDIOLOGY),11.2933748999867,6.157620339760819,13
04025,HEMATOLOGY/ONCOLOGY,6.157620339760819,6.157620339760819,1
04025,NEUROLOGY,23.50202388789917,11.194426142539593,2
04025,PSYCHIATRY,16.35704503202246,11.194426142539593,5
04025,PULMONARY DISEASE,35.80962163325875,35.80962163325875,1
04027,CARDIOVASCULAR DISEASE (CARDIOLOGY),8.386315847922557,8.386315847922557,11
04027,ENDOCRINOLOGY,8.257902431847908,8.001075599698611,3
04027,HEMATOLOGY/ONCOLOGY,8.386315847922557,8.386315847922557,8
04027,NEUROLOGY,8.276247205572858,8.001075599698611,7
04027,PSYCHIATRY,4.484284645869424,1.8829305111673367,5
04027,PULMONARY DISEASE,8.338160816894563,8.001075599698611,8
04027,RHEUMATOLOGY,8.257902431847908,8.001075599698611,3
05001,PSYCHIATRY,0.0,0.0,1
05003,PULMONARY DISEASE,0.0,0.0,1
05005,HEMATOLOGY/ONCOLOGY,0.0,0.0,1
05005,PSYCHIATRY,0.0,0.0,3
05005,PULMONARY DISEASE,0.0,0.0,2
05007,CARDIOVASCULAR DISEASE (CARDIOLOGY),5.804257673816072,0.43342172010728075,10
05007,ENDOCRINOLOGY,2.0713212612336402,0.43342172010728075,3
05007,HEMATOLOGY/ONCOLOGY,5.34712034348636,5.34712034348636,3
05007,NEUROLOGY,5.34712034348636,5.34712034348636,4
05007,PSYCHIATRY,3.634563092046638,0.43342172010728075,7
05007,PULMONARY DISEASE,4.528170572923179,0.43342172010728075,6
05007,RHEUMATOLOGY,5.34712034348636,5.34712034348636,2
05009,CARDIOVASCULAR DISEASE (CARDIOLOGY),0.0,0.0,1
05009,HEMATOLOGY/ONCOLOGY,0.0,0.0,1
05009,PSYCHIATRY,0.0,0.0,2
05009,RHEUMATOLOGY,0.0,0.0,1
05023,PSYCHIATRY,0.0,0.0,1
