ESTIMATED_PATIENTS,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES,PATIENTS_PER_PROVIDER,MEDIAN_PATIENTS_PER_PROVIDER,MEAN_PATIENTS_PER_PROVIDER,REQUIRED_SPECIALTY_Cardiology,REQUIRED_SPECIALTY_Endocrinology,REQUIRED_SPECIALTY_Psychiatry,REQUIRED_SPECIALTY_Pulmonary,REQUIRED_SPECIALTY_Rheumatology
0.05033478352227555,1.424195266758371,1.3739028309240655,1.430265070340607,-0.16589173122564457,0.20737219584652442,0.15285240729734365,0.0,0.0,0.0,0.0,1.0
0.07789977941580947,1.424195266758371,1.3794560534608165,1.8933530771224256,-0.14546744762896846,0.2763901856706533,0.41217777032063846,1.0,0.0,0.0,0.0,0.0
-0.3744574192673211,-0.9956763369372683,-0.7946305696771875,-0.7405433861830719,-0.5215680603330946,-0.9489843709756773,-0.9659769711537248,0.0,0.0,0.0,1.0,0.0
0.9107276152443187,-0.18905246903872183,-0.5725016682071488,-0.5803248391598133,2.4579850047834677,1.6276866518733035,1.5818236366153744,0.0,1.0,0.0,0.0,0.0
-0.40874258920746454,-0.18905246903872183,0.027246365761955823,-0.08946446934923853,-0.4749991365989116,0.2763901856706533,0.41217777032063846,1.0,0.0,0.0,0.0,0.0
-0.4052333599403055,-0.9956763369372683,-0.7946305696771875,-0.7405433861830719,-0.5215680603330946,0.20737219584652442,0.15285240729734365,0.0,0.0,0.0,0.0,1.0
2.995227346083099,0.6175713988598247,1.182316653406157,0.42667090371386335,3.284973425552102,0.2763901856706533,0.41217777032063846,1.0,0.0,0.0,0.0,0.0
-0.42163900676427385,-0.9956763369372683,-0.7946305696771875,-0.7405433861830719,-0.5215680603330946,0.2763901856706533,0.41217777032063846,1.0,0.0,0.0,0.0,0.0
19.65334566967717,4.650690738352557,0.5548025067532978,1.0222481524173606,5.855800329636528,1.6276866518733035,1.5818236366153744,0.0,1.0,0.0,0.0,0.0
-0.3408740951806095,-0.18905246903872183,0.10082656437390615,-0.05583622822449647,-0.3241376650714243,0.20737219584652442,0.15285240729734365,0.0,0.0,0.0,0.0,1.0
